user_id	age	gender	city	click_seq	purchase_seq	search_seq
75	unknown	female	Suzhou	2026-05-30 10:20,Diaper Bag,Bags,Diaper Bag;2026-05-29 08:40,Baby Carrier,Mother & Baby,Carrier;2026-05-27 19:00,Baby Monitor,Electronics,Baby Care	2026-05-29 09:10,Baby Carrier,Mother & Baby,Carrier,0.84	2026-05-30 10:10,diaper bag;2026-05-29 08:30,baby carrier
76	41	male	Xian	2026-05-29 09:10,Tool Box,Tools,Storage;2026-05-12 10:00,Socket Set,Tools,Hand Tool;2026-03-25 14:00,Tape Measure,Tools,Hand Tool	2026-05-13 11:00,Socket Set,Tools,Hand Tool,0.64	2026-05-29 09:00,tool box;2026-05-12 09:50,socket set
77	28	other	Tianjin	2026-05-30 18:20,Pride Flag,Home Decor,Decor;2026-05-29 15:00,Rainbow Pin,Hobby,Collectible;2026-05-27 12:40,Tote Canvas,Bags,Tote	2026-05-29 15:30,Rainbow Pin,Hobby,Collectible,0.77	2026-05-30 18:10,pride flag;2026-05-29 14:50,rainbow pin
78	35	female	Chongqing	2026-05-30 16:30,Sourdough Starter,Grocery,Baking;2026-05-29 13:00,Bread Pan,Kitchenware,Bakeware;2026-05-28 09:30,Kitchen Scale,Kitchenware,Tools;2026-05-20 10:00,Stand Mixer,Home Appliance,Kitchen	2026-05-29 13:30,Bread Pan,Kitchenware,Bakeware,0.38;2026-05-21 11:00,Stand Mixer,Home Appliance,Kitchen,0.54	2026-05-30 16:20,sourdough starter;2026-05-29 12:50,bread pan
79	24	male	Qingdao	2026-05-30 20:30,Fishing Reel,Sports,Fishing;2026-05-29 17:00,Tackle Box,Sports,Fishing;2026-05-27 14:00,Fishing Line,Sports,Fishing	2026-05-29 17:30,Tackle Box,Sports,Fishing,0.74	2026-05-30 20:20,fishing reel;2026-05-29 16:50,tackle box
80	50	unknown	Dalian	2026-02-22 10:00,Acupressure Mat,Health,Wellness;2025-12-18 14:00,Massage Gun,Health,Wellness	2026-02-23 11:00,Acupressure Mat,Health,Wellness,0.5	2026-02-22 09:50,acupressure mat
81	31	female	Xiamen	2026-05-30 12:40,Sunhat Wide Brim,Apparel,Accessory;2026-05-29 10:10,Linen Shorts,Apparel,Women Bottom;2026-05-28 17:20,Espadrilles,Footwear,Women Flats	2026-05-29 10:40,Linen Shorts,Apparel,Women Bottom,0.51	2026-05-30 12:30,sunhat;2026-05-29 10:00,linen shorts
82	38	male	Changsha	2026-05-29 09:40,Coffee Grinder,Home Appliance,Coffee;2026-05-18 08:20,Pour Over Kit,Kitchenware,Coffee;2026-04-15 10:00,Gooseneck Kettle,Home Appliance,Coffee	2026-05-19 09:00,Pour Over Kit,Kitchenware,Coffee,0.25	2026-05-29 09:30,coffee grinder;2026-05-18 08:10,pour over kit
83	27	female	Kunming	2026-05-30 19:10,Ceramic Mug,Kitchenware,Drinkware;2026-05-29 16:50,Coaster Set,Home Decor,Tableware;2026-05-28 11:40,Tea Towel,Home Textile,Kitchen	2026-05-29 17:20,Coaster Set,Home Decor,Tableware,0.25	2026-05-30 19:00,ceramic mug;2026-05-29 16:40,coaster set
84	45	male	Harbin	2026-03-12 10:00,Snow Shovel,Tools,Garden Tool;2026-01-08 14:30,Tire Chains,Auto,Car Accessory	2026-03-13 11:00,Snow Shovel,Tools,Garden Tool,0.35	2026-03-12 09:50,snow shovel
85	22	male	Shanghai	2026-05-30 23:20,Streetwear Hoodie,Apparel,Unisex Top;2026-05-30 21:00,Cargo Pants,Apparel,Unisex Bottom;2026-05-29 18:30,Chunky Sneakers,Footwear,Sneakers	2026-05-30 21:30,Cargo Pants,Apparel,Unisex Bottom,0.32	2026-05-30 23:10,streetwear hoodie;2026-05-30 20:50,cargo pants
86	34	female	Beijing	2026-05-30 15:50,Wall Shelf,Furniture,Storage;2026-05-29 12:30,Storage Basket,Home & Garden,Storage;2026-05-28 09:20,Photo Frame Set,Home Decor,Decor;2026-05-22 19:00,Floor Lamp,Home Appliance,Lighting	2026-05-29 13:00,Storage Basket,Home & Garden,Storage,0.47;2026-05-23 20:00,Floor Lamp,Home Appliance,Lighting,0.3	2026-05-30 15:40,wall shelf;2026-05-29 12:20,storage basket
87	29	male	Hangzhou	2026-05-30 08:40,Espresso Cups,Kitchenware,Drinkware;2026-05-29 07:20,Coffee Scale,Kitchenware,Tools;2026-05-27 18:50,Tamper Mat,Kitchenware,Coffee	2026-05-29 07:50,Coffee Scale,Kitchenware,Tools,0.95	2026-05-30 08:30,espresso cups;2026-05-29 07:10,coffee scale
88	42	female	Shenzhen	2026-04-18 09:00,Resistance Bands Set,Sports,Fitness Gear;2026-02-25 10:30,Kettlebell,Sports,Fitness Gear	2026-04-19 10:00,Resistance Bands Set,Sports,Fitness Gear,0.22;2026-02-26 11:00,Kettlebell,Sports,Fitness Gear,0.22	2026-04-18 08:50,resistance bands;2026-02-25 10:20,kettlebell
89	25	male	Guangzhou	2026-05-30 21:30,VR Headset,Electronics,Gaming;2026-05-29 19:00,VR Controller,Electronics,Gaming;2026-05-27 15:40,Gaming Chair,Furniture,Seating;2026-05-09 10:00,Gaming Desk,Furniture,Desk	2026-05-29 19:30,VR Controller,Electronics,Gaming,0.53;2026-05-10 11:00,Gaming Desk,Furniture,Desk,0.31	2026-05-30 21:20,vr headset;2026-05-29 18:50,vr controller
90	unknown	male	Chengdu	2026-05-29 10:50,Wallet Chain,Apparel,Accessory;2026-05-14 09:00,Card Holder,Bags,Wallet;2026-03-30 14:00,Keychain,Apparel,Accessory	2026-05-15 10:00,Card Holder,Bags,Wallet,0.67	2026-05-29 10:40,wallet chain;2026-05-14 08:50,card holder
91	33	female	Wuhan	2026-05-30 14:00,Ceramic Vase,Home Decor,Decor;2026-05-29 11:20,Dried Flowers,Home Decor,Floral;2026-05-28 16:40,Table Runner,Home Textile,Tableware	2026-05-29 11:50,Dried Flowers,Home Decor,Floral,0.4	2026-05-30 13:50,ceramic vase;2026-05-29 11:10,dried flowers
92	30	female	Nanjing	2026-05-30 20:40,DJ Controller,Electronics,Musical Instrument;2026-05-29 17:50,Studio Headphones,Electronics,Audio;2026-05-27 14:20,Audio Interface,Electronics,Audio	2026-05-29 18:20,Studio Headphones,Electronics,Audio,0.93	2026-05-30 20:30,dj controller;2026-05-29 17:40,studio headphones
93	47	male	Suzhou	2026-02-08 10:00,Pocket Watch,Jewelry,Watch;2025-12-22 14:30,Watch Box,Home & Garden,Storage	2026-02-09 11:00,Pocket Watch,Jewelry,Watch,0.78	2026-02-08 09:50,pocket watch
94	26	female	Xian	2026-05-30 17:40,Press On Nails,Beauty,Nail;2026-05-29 14:00,Lip Gloss Set,Beauty,Lip Makeup;2026-05-28 10:20,Blush Palette,Beauty,Face Makeup	2026-05-29 14:30,Lip Gloss Set,Beauty,Lip Makeup,0.73	2026-05-30 17:30,press on nails;2026-05-29 13:50,lip gloss
95	39	unknown	Tianjin	2026-05-28 08:30,Smart Thermostat,Electronics,Smart Home;2026-05-17 09:00,Door Sensor,Electronics,Smart Home;2026-03-18 14:00,Security Camera,Electronics,Smart Home	2026-05-18 10:00,Door Sensor,Electronics,Smart Home,0.51	2026-05-28 08:20,smart thermostat;2026-05-17 08:50,door sensor
96	23	male	Chongqing	2026-05-30 22:20,Skate Helmet,Sports,Skateboarding;2026-05-29 19:40,Skate Wheels,Sports,Skateboarding;2026-05-27 16:00,Knee Pads,Sports,Protective Gear	2026-05-29 20:10,Skate Wheels,Sports,Skateboarding,0.35	2026-05-30 22:10,skate helmet;2026-05-29 19:30,skate wheels
97	36	female	Qingdao	2026-05-30 13:10,Beach Cover Up,Apparel,Swimwear;2026-05-29 10:40,One Piece Swimsuit,Apparel,Swimwear;2026-05-28 18:20,Flip Flops,Footwear,Sandals;2026-05-21 09:00,Beach Bag,Bags,Tote	2026-05-29 11:10,One Piece Swimsuit,Apparel,Swimwear,0.69;2026-05-22 10:00,Beach Bag,Bags,Tote,0.27	2026-05-30 13:00,beach cover up;2026-05-29 10:30,swimsuit
98	44	male	Dalian	2026-04-05 09:30,Barbecue Grill,Home & Garden,Outdoor;2026-02-12 10:00,Grill Tools Set,Kitchenware,Tools	2026-04-06 10:30,Barbecue Grill,Home & Garden,Outdoor,0.81;2026-02-13 11:00,Grill Tools Set,Kitchenware,Tools,0.41	2026-04-05 09:20,barbecue grill;2026-02-12 09:50,grill tools
99	31	female	Xiamen	2026-05-30 16:00,Travel Backpack,Bags,Backpack;2026-05-29 12:40,Packing Cubes,Bags,Travel Accessory;2026-05-28 09:00,Neck Pillow,Home Textile,Travel;2026-05-18 10:30,Luggage Tag,Bags,Travel Accessory	2026-05-29 13:10,Packing Cubes,Bags,Travel Accessory,0.36;2026-05-19 11:00,Luggage Tag,Bags,Travel Accessory,0.36	2026-05-30 15:50,travel backpack;2026-05-29 12:30,packing cubes
100	28	male	Changsha	2026-05-30 09:20,Noise Cancel Headphones,Electronics,Audio;2026-05-29 18:30,Travel Adapter,Electronics,Charging;2026-05-27 11:00,Portable Charger,Electronics,Charging;2026-05-08 09:30,E-Reader,Electronics,Reading	2026-05-29 19:00,Travel Adapter,Electronics,Charging,0.18;2026-05-09 10:30,E-Reader,Electronics,Reading,0.4	2026-05-30 09:10,noise cancel headphones;2026-05-29 18:20,travel adapter
